timestamp,x,y,z,qx,qy,qz,qw,gripper_closed
1752346597.115260334,0.4494,0.4350,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.226058792,0.1013,0.3876,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.300772376,0.1035,0.3350,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.402409751,0.1222,0.3006,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.503981251,0.1336,0.2760,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.601737126,0.1419,0.2574,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.701962584,0.1481,0.2436,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.801637917,0.1497,0.2368,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.903600001,0.1555,0.2323,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.6249918,0.1583,0.2316,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.102259793,0.1613,0.2319,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.204846876,0.1607,0.2336,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.306686084,0.1613,0.2405,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.400804751,0.1681,0.2406,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.503228418,0.1677,0.2401,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.603067584,0.1661,0.2400,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.704654210,0.1648,0.2415,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.802554960,0.1640,0.2427,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.903735501,0.1652,0.2433,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.2798376,0.1637,0.2451,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346599.104169043,0.1638,0.2457,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346599.203250043,0.1637,0.2446,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346599.304101710,0.1625,0.2455,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.402830710,0.1616,0.2464,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.502958418,0.1606,0.2459,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346599.602877335,0.1601,0.2461,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.708046877,0.1595,0.2461,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.802834960,0.1595,0.2465,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.903637960,0.1597,0.2463,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.5435168,0.1586,0.2458,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.103597710,0.1597,0.2457,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.202963294,0.1599,0.2413,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.302835919,0.1557,0.2428,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.402587502,0.1523,0.2432,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.504824127,0.1507,0.2429,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.602969877,0.1509,0.2444,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.703821877,0.1509,0.2449,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.802884502,0.1503,0.2458,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.903268377,0.1507,0.2455,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.3178502,0.1526,0.2435,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.103132252,0.1530,0.2476,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.103858794,0.3946,0.2520,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.204260836,0.1600,0.2462,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.304977086,0.1617,0.2447,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.402752669,0.1606,0.2447,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.503566336,0.1611,0.2455,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.605034961,0.1606,0.2458,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.703965586,0.1614,0.2455,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.803142378,0.1625,0.2438,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.905479836,0.1625,0.2424,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.5132336,0.1609,0.2428,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.103685211,0.1566,0.2471,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.202959545,0.1547,0.2506,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.302773420,0.1547,0.2515,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.403018961,0.1541,0.2524,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.504933211,0.1510,0.2551,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.505634628,0.3970,0.2668,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.604153086,0.1544,0.2523,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.703071920,0.1561,0.2530,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.802743461,0.1556,0.2558,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.903570753,0.1546,0.2575,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.2711503,0.1551,0.2570,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.104875253,0.1556,0.2554,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.204382587,0.1558,0.2560,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.303153420,0.1548,0.2529,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.403122378,0.1551,0.2557,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.502837878,0.1497,0.2601,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.604194920,0.1506,0.2632,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.707699837,0.1493,0.2636,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.805807670,0.1490,0.2641,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.904486545,0.1486,0.2645,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.7581837,0.1480,0.2671,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.107738754,0.1483,0.2669,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.201618462,0.1491,0.2665,0.2000,0.0000,0.0000,0.0000,1.0000,0
